min_score,max_rent,rent,apt_score
3,526,0,
4,527,0,
5,527,0,
3,527,0,
3,527,0,
5,527,0,
4,528,0,
2,528,110,2
3,528,0,
2,528,115,2
3,529,0,
4,529,0,
2,529,120,2
1,530,126,2
1,530,132,2
5,531,0,
3,532,0,
3,532,0,
1,532,105,2
1,533,115,2
3,533,0,
1,533,126,2
3,533,0,
5,533,0,
2,534,132,2
1,534,132,2
2,534,110,2
4,534,0,
2,534,132,2
3,535,0,
4,535,0,
1,535,126,2
5,535,0,
2,535,105,2
5,535,0,
2,535,110,2
3,535,0,
1,536,126,2
3,536,0,
5,536,0,
3,536,0,
3,537,0,
5,537,0,
4,537,0,
2,538,110,2
3,538,0,
5,538,0,
5,538,0,
3,538,0,
2,538,120,2
5,539,0,
4,539,0,
1,539,115,2
5,539,0,
1,540,120,2
2,540,120,2
5,541,0,
4,541,0,
1,541,110,2
4,542,0,
4,542,0,
3,543,0,
4,543,0,
5,543,0,
4,543,0,
2,545,120,2
3,545,0,
5,545,0,
4,545,0,
5,546,0,
1,546,115,2
5,546,0,
5,546,0,
5,547,0,
1,547,115,2
3,548,0,
2,549,138,2
1,549,110,2
5,549,0,
4,549,0,
4,550,0,
4,550,0,
4,550,0,
1,550,132,2
5,550,0,
2,551,110,2
2,552,115,2
2,552,105,2
3,552,0,
2,552,115,2
4,552,0,
4,552,0,
1,552,105,2
3,552,0,
2,552,115,2
5,552,0,
2,553,120,2
3,553,0,
1,554,105,1
1,555,132,2
1,555,126,2
5,556,0,
3,556,0,
5,556,0,
3,556,0,
2,557,126,2
1,557,105,2
2,557,132,2
5,558,0,
4,558,0,
5,558,0,
5,558,0,
1,558,120,2
5,558,0,
4,558,0,
5,558,0,
4,559,0,
4,559,0,
4,559,0,
2,560,110,2
2,560,105,2
4,561,0,
4,561,0,
5,561,0,
2,561,132,2
3,561,0,
4,563,0,
1,563,132,2
4,563,0,
2,563,138,2
4,563,0,
1,563,132,2
3,564,0,
3,565,0,
4,565,0,
1,565,105,2
3,565,0,
1,565,126,2
4,566,0,
4,566,0,
2,566,120,2
2,566,120,2
5,566,0,
2,566,110,2
2,567,110,2
4,567,0,
1,567,126,2
5,567,0,
3,567,0,
3,568,0,
3,569,0,
5,569,0,
5,569,0,
4,569,0,
1,570,105,2
4,570,0,
1,570,120,2
5,570,0,
3,570,0,
4,571,0,
3,571,0,
2,571,110,2
4,571,0,
5,573,0,
3,573,0,
4,573,0,
3,574,0,
5,574,0,
5,575,0,
4,575,0,
3,575,0,
2,575,105,2
4,575,0,
4,575,0,
2,575,120,2
4,576,0,
1,576,110,2
5,576,0,
1,577,110,2
5,577,0,
5,578,0,
4,578,0,
5,578,0,
3,579,0,
2,579,110,2
3,579,0,
1,579,126,2
3,579,0,
2,579,105,2
1,579,110,2
4,579,0,
3,579,0,
2,579,115,2
5,579,0,
2,580,120,2
2,580,105,2
3,580,0,
3,580,0,
2,581,110,2
3,581,0,
5,581,0,
4,581,0,
5,582,0,
1,582,126,2
1,582,126,2
2,582,110,2
3,582,0,
5,583,0,
3,583,0,
4,583,0,
4,583,0,
5,583,0,
4,583,0,
1,583,115,2
1,583,110,2
1,584,120,2
3,584,0,
1,584,110,2
3,584,0,
1,584,115,2
2,584,132,2
1,585,115,2
4,585,0,
2,585,110,2
2,585,132,2
3,585,0,
2,585,110,2
3,586,0,
1,586,120,2
3,586,0,
3,587,0,
1,587,120,2
4,587,0,
4,587,0,
3,588,0,
5,588,0,
4,588,0,
3,589,0,
3,589,0,
2,589,115,2
2,589,110,2
2,589,126,2
5,590,0,
4,590,0,
1,592,120,2
5,593,0,
3,593,0,
4,593,0,
2,594,120,2
3,594,0,
2,594,110,2
3,594,0,
3,595,0,
3,595,0,
4,596,0,
3,596,0,
5,596,0,
4,596,0,
4,597,0,
3,597,0,
1,597,120,2
2,598,105,2
4,598,0,
1,598,120,2
3,598,0,
3,598,0,
3,599,0,
3,599,0,
5,599,0,
2,600,110,2
3,600,0,
4,600,0,
4,600,0,
5,600,0,
2,600,110,2
2,600,115,2
5,600,0,
3,600,0,
4,600,0,
4,601,0,
1,601,138,2
5,601,0,
5,602,0,
4,602,0,
5,602,0,
5,602,0,
4,602,0,
2,602,120,2
4,602,0,
2,602,105,2
1,602,105,2
2,603,110,2
4,604,0,
5,605,0,
2,605,126,2
3,605,0,
5,606,0,
1,606,110,2
1,606,126,2
3,606,0,
1,607,132,2
3,607,0,
3,607,0,
5,607,0,
4,608,0,
1,608,115,2
2,608,126,2
1,608,120,2
1,608,126,2
5,609,0,
5,609,0,
5,609,0,
1,609,105,1
1,609,120,2
1,610,115,2
1,610,115,2
4,610,0,
3,610,0,
3,610,0,
4,611,0,
2,611,115,2
2,611,126,2
2,611,115,2
5,611,0,
5,612,0,
3,612,0,
4,612,0,
4,612,0,
2,612,115,2
2,613,110,2
4,613,0,
5,613,0,
2,613,120,2
2,613,120,2
3,613,0,
4,613,0,
1,614,115,2
1,614,126,2
5,614,0,
5,615,0,
3,616,0,
1,616,110,2
2,616,126,2
5,616,0,
1,616,110,2
1,616,105,2
1,616,132,2
1,617,132,2
2,617,105,2
1,617,110,2
5,617,0,
3,618,0,
5,618,0,
1,618,120,2
4,618,0,
1,618,126,2
5,618,0,
4,618,0,
4,618,0,
1,619,115,2
4,619,0,
1,619,110,2
1,620,110,2
4,620,0,
1,621,110,2
3,621,0,
5,621,0,
3,621,0,
1,621,120,2
5,621,0,
2,622,151,2
3,622,0,
1,622,115,2
4,622,0,
1,622,105,1
5,622,0,
4,622,0,
2,623,132,2
4,623,0,
1,623,120,2
4,624,0,
4,624,0,
1,624,105,2
5,624,0,
2,624,126,2
4,624,0,
5,625,0,
4,625,0,
5,625,0,
3,625,0,
5,626,0,
4,626,0,
5,626,0,
2,626,126,2
3,626,0,
5,626,0,
3,627,0,
3,627,0,
3,627,0,
5,627,0,
4,628,0,
5,628,0,
4,628,0,
2,628,115,2
1,628,120,2
2,628,115,2
3,628,0,
5,629,0,
3,629,0,
5,630,0,
4,630,0,
3,630,0,
3,630,0,
3,630,0,
5,630,0,
3,630,0,
4,630,0,
3,631,0,
5,631,0,
4,631,0,
5,631,0,
2,632,120,2
2,632,115,2
