min_score,max_rent,rent,apt_score
1,6490,4747,4
3,6501,4521,4
1,6505,4521,4
4,6540,4306,4
2,6549,4306,4
5,6571,0,
5,6600,0,
2,6601,4306,4
3,6605,5233,4
4,6607,5233,4
3,6611,4521,4
1,6620,4984,4
3,6632,4306,4
3,6650,4521,4
4,6652,4747,4
1,6679,4306,4
2,6684,4521,4
1,6701,4747,4
2,6752,4101,4
5,6776,0,
4,6784,4984,4
1,6793,4747,4
1,6794,4521,4
5,6860,0,
2,6886,4521,4
1,6900,4747,4
2,6917,4306,4
1,6932,4521,4
3,6956,4984,4
1,7017,4306,4
3,7028,4521,4
2,7065,4306,4
4,7067,4521,4
4,7089,5233,4
2,7197,4521,4
2,7212,4747,4
3,7212,4306,4
1,7214,4306,4
5,7269,0,
4,7335,4101,4
5,7339,0,
2,7345,4747,4
2,7387,4521,4
4,7409,4521,4
3,7416,4306,4
4,7444,4984,4
2,7447,4521,4
5,7491,0,
5,7496,7358,5
1,7508,4306,4
1,7512,7358,5
4,7524,7358,5
4,7543,4984,4
2,7553,7358,5
4,7576,7358,5
3,7583,7358,5
3,7622,7358,5
3,7639,4306,4
4,7662,4747,4
2,7671,7358,5
1,7675,4747,4
4,7689,4521,4
2,7731,7725,5
3,7754,7725,5
2,7770,7725,5
2,7774,7725,5
1,7782,7725,5
3,7805,4984,4
4,7811,7358,5
3,7825,7725,5
2,7826,7725,5
1,7874,4306,4
3,7968,7725,5
2,8031,7725,5
3,8061,7725,5
1,8065,4984,4
1,8077,7725,5
3,8100,7725,5
3,8169,8111,5
3,8176,7358,5
1,8189,8111,5
2,8220,8111,5
2,8234,8111,5
5,8246,8111,5
5,8270,7725,5
4,8408,8111,5
2,8445,8111,5
4,8480,7725,5
5,8534,8516,5
2,8615,8516,5
4,8626,7725,5
2,8653,8516,5
1,8671,8516,5
3,8704,8111,5
5,8847,8516,5
2,8869,7725,5
2,8904,8111,5
4,8932,8516,5
5,9074,8111,5
4,9079,8516,5
2,9101,7725,5
2,9111,7725,5
3,9128,8111,5
3,9131,8111,5
4,9132,8111,5
3,9136,7725,5
1,9167,7725,5
4,9179,8111,5
3,9203,7725,5
1,9226,8111,5
3,9408,9388,5
1,9437,7725,5
4,9461,8111,5
5,9529,8111,5
3,9585,8941,5
3,9614,8111,5
4,9648,9388,5
1,9715,9388,5
3,9719,7725,5
3,9735,8941,5
5,9738,7358,5
1,9865,8516,5
3,9866,7725,5
4,9894,7725,5
2,9965,8111,5
4,10030,8516,5
5,10053,7358,5
5,10210,8941,5
1,10361,8111,5
5,10371,8111,5
3,10472,9857,5
1,10479,8516,5
2,10655,7358,5
2,10858,8516,5
1,10863,9388,5
5,10953,9388,5
1,11029,8516,5
4,11063,9388,5
2,11069,7725,5
3,11087,7725,5
1,11109,8516,5
1,11171,7725,5
4,11229,8111,5
4,11247,7725,5
1,11279,8111,5
4,11413,8111,5
4,11421,8111,5
1,11490,8111,5
5,11528,8111,5
2,11840,8111,5
4,12011,7358,5
3,12031,8111,5
2,12173,8111,5
3,12662,8111,5
2,12768,8111,5
1,12863,7725,5
5,13251,7725,5
3,13251,9388,5
4,13298,8516,5
1,13626,10349,5
5,13667,9388,5
5,13713,10866,5
5,13747,8111,5
1,14268,7725,5
4,14277,8111,5
2,14282,7725,5
4,14565,8516,5
5,14592,8516,5
3,14678,8111,5
2,14951,8111,5
3,15073,8111,5
3,15212,8111,5
4,15284,8516,5
4,15703,8941,5
3,15959,8516,5
1,16271,7725,5
2,16362,8111,5
5,16934,8111,5
4,17459,7358,5
3,17528,8111,5
4,17696,7725,5
2,17701,8941,5
5,17750,7725,5
2,18134,8111,5
5,18330,7725,5
